modelo,peca_hora
8116R754GSNE,300.0
8116R754GSREC,300.0
8116R754GSSR,300.0
8116R754XEBRN,300.0
8116R755GSNE,300.0
8116R755XEREC,300.0
8116R8045GSNE,300.0
8116R804GSBRN,300.0
8116R804GSGQ,300.0
8116R804GSJC,300.0
8116R804GSNE,300.0
8117MR5245NCSPA,300.0
8117R374BBFQ,300.0
8117R374BBNE,300.0
8117R374BBSPN,300.0
8117R7545GSNE,300.0
8117R754GSBRN,300.0
8117R754GSJM,300.0
8117R754GSNE,300.0
8118R765ORSA,300.0
8118R775ORNLB,300.0
8118R775ORSA,300.0
8120MR925WMSPN,270.0
82135R754GSNE,300.0
8214R754GSNE,300.0
82155R754GSBRN,300.0
82155R754GSGQ,300.0
82155R754GSKH,300.0
82155R754GSMR,300.0
82155R754GSNE,300.0
8215R6835FCNE,300.0
8215R684FCNE,300.0
8215R7535GSNE,300.0
8215R7543CBRN,300.0
8215R7543CFV,300.0
8215R7543CNE,300.0
8215R754GSGQ,300.0
8215R754GSKH,300.0
8215R754GSNE,300.0
8215R754GSFV,300.0
8215R8035GSNE,300.0
8215R804GSNE,300.0
8216R754GSKH,300.0
8216R754GSMR,300.0
8216R754GSNE,300.0
8218R12345G1NE,300.0
9120R8045G3NE,180.0
8220R754GSNE,270.0
83155R7543CNE,300.0
8315R694FHNE,300.0
8315R7535GSNE,300.0
8315R7543CBRN,300.0
8315R7545GSFV,300.0
8315R75453CFV,300.0
8315R75453CNE,300.0
8315R75453DNE,300.0
8315R7545GSNE,300.0
8315R754GS,300.0
8315R754GSNE,300.0
8315R8045G3NE,300.0
8315R804GSNE,300.0
8316R544HJNE,300.0
8316R6245NJAGG,300.0
8316R6245NJGQ,300.0
8316R6245NJNE,300.0
8316R6245NJNLB,300.0
8316R6245NJREC,300.0
8316R624NJBRN,300.0
8316R624NJNE,300.0
8316R624NJNLB,300.0
8316R625NJBRN,300.0
8316R625NJNE,300.0
8316R625NJNLB,300.0
8316R625NJREC,300.0
8316R625NJSTA,300.0
8316R7545GSFV,300.0
8316R7545GSSR,300.0
8316R754GSBRN,300.0
8316R754GSNE,300.0
2516R8045G3NE,200.0
2816R8045G3NE,200.0
8316R8045GSNE,300.0
8316R804G3NE,300.0
8316R804GPMX,300.0
8317R694FHIM,300.0
8317R80454SFV,300.0
8317R8045G3BRN,300.0
8317R8045G3GQ,300.0
8317R8045G3NE,300.0
8317R8045G3SR,300.0
8317R8045GPNE,300.0
8317R804G3NE,300.0
8317R804G8NE,300.0
8317R804GSNE,300.0
8317R805G3BRN,300.0
8317R805G3JM,300.0
8317R805G3NE,300.0
8317R805GSFH,300.0
8317R805GSNE,300.0
8318R12345G1BRN,300.0
8318R12345G1GQ,300.0
8318R12345G1NE,300.0
8318R12345G1STE,300.0
8318R1234G1NE,300.0
8318R1234G3NE,300.0
8318R1235G1NE,300.0
8318R6945FHNE,300.0
8318R7545G3NE,300.0
8318R7545G3NLB,300.0
8318R754G3NE,300.0
8318R755G3GQ,300.0
8318R755G3NE,300.0
8318R755G3NLB,300.0
8318R755G3STA,300.0
8318R8045G3PI,300.0
8318R8045G3BRN,300.0
8318R8045G3GQ,300.0
8318R8045G3NE,300.0
8318R8045G8NE,300.0
8318R804G3BRN,300.0
8318R804G3NE,300.0
8318R805G3BRN,300.0
8318R805G3FV,300.0
8318R805G3GQ,300.0
8318R805G3JM,300.0
8318R805G3NE,300.0
8318R805G3REC,300.0
8318R805G3SR,300.0
8318R805GPBRN,300.0
8318R8645GHIM,300.0
8318R906ROSPA,300.0
8320R12345G1GQ,270.0
8320R12345G1NE,270.0
9120R60545D6NE,180.0
8320R12345G1STE,270.0
8320R1235G1BRN,270.0
8320R1235G1NE,270.0
8320R7545G3BRN,270.0
8320R7545G3NE,270.0
8320R7545G3NLB,270.0
8320R754G3NE,270.0
8320R755G3BRN,270.0
8320R755G3GQ,270.0
8320R755G3NE,270.0
8320R755G3NLB,270.0
8320R755G3STA,270.0
8320R8045G3BRN,270.0
8320R8045G3GQ,270.0
8320R8045G3NE,270.0
8320R805G3BRN,270.0
8320R805G3FV,270.0
8320R805G3NE,270.0
8320R805G3REC,270.0
8320R805G3SR,270.0
8320R805GPBRN,270.0
8320R8065G3JM,270.0
8320R8065G3NE,270.0
8320R806G3BRN,270.0
8320R806G3HA,270.0
8320R806G3NE,270.0
8322R1055TEBRN,270.0
8322R755G3BRN,270.0
8322R755G3GQ,270.0
8322R755G3NE,270.0
8322R805G3JC,270.0
8322R755G3REC,270.0
8322R805G3BRN,270.0
9522R1045IONE,170.0
8322R805G3GQ,270.0
8322R805G3NE,270.0
83255R1016RDSPN,270.0
8416R8045G3NE,300.0
8417R8045G3KH,300.0
8417R8045G3NE,300.0
8417R804GPNE,300.0
8417R865GHIM,300.0
8418R12345G1NE,300.0
8418R1235G1NE,300.0
8418R7545G3AGG,300.0
8418R755G3REC,300.0
8418R8045G3KH,300.0
8418R8045G3NE,300.0
8418R805G3NE,300.0
8418R805G3SR,300.0
8418R8645GHIM,300.0
8418R865GHIM,300.0
8420R12345G1NE,270.0
8420R1235G1NE,270.0
8420R7545G3AGG,270.0
8420R755G3REC,270.0
8420R8045G3KH,270.0
8420R8045G3NE,270.0
8420R8045G3STE,270.0
8420R805G3NE,270.0
8420R8645GHNE,270.0
8420R865GHIM,270.0
8422R805G3NE,270.0
9016R544HJNE,200.0
9020RG6452YFS,180.0
9020RG6452YFS,180.0
9118R755G3NE,190.0
9118R755G3REC,190.0
9118R8045G3NE,190.0
9118R805G3NE,190.0
9120R755G3BRN,180.0
9120R755G3NE,180.0
9120R755G3REC,180.0
9120R8045G3BRN,180.0
9120R805G3BRN,180.0
9120R805G3NE,180.0
9122R755G3BRN,170.0
9122R755G3NE,170.0
9122R805G3NE,170.0
9122R805G3REC,170.0
9516R5445HJAGG,200.0
8116R295KYNLB,300.0
9516R805G3NE,200.0
9517R10152FSPA,200.0
9517R8045G3BRN,200.0
9517R8045G3NE,200.0
9518R8045G3BRN,190.0
9518R8045G3NE,190.0
9518R805G3BRN,190.0
9518R805G3NE,190.0
9520R12345G1BRN,180.0
9520R12345G1NE,180.0
9520R7545G3BRN,180.0
9520R755G3BRN,180.0
9520R755G3NE,180.0
9520R755G3REC,180.0
9520R8045G3BRN,180.0
9520R8045G3NE,180.0
9520R805G3BRN,180.0
9520R805G3NE,180.0
9520R805G3REC,180.0
9522R755G3BRN,170.0
9522R805G3BRN,170.0
9522R805G3NE,170.0
9918R805G3NE,180.0
9918R755G3NE,190.0
9918R755G3REC,190.0
9920R755G3BRN,180.0
9920R755G3GQ,180.0
9920R755G3NE,180.0
9920R755G3REC,180.0
9920R805G3BRN,180.0
9920R805G3NE,180.0
9920R805G3REC,180.0
9920R806G3HA,170.0
CQ54001,300.0
CQ54005,300.0
KK14179,300.0
KK14207,270.0
KK29306,300.0
KK49608,300.0
MUESTRASJUMIL1,300.0
MUESTRASJUMIL2,300.0
MUESTRASJUMIL3,300.0
RD14MR1123YHNE,200.0
RD14MR1123YHREC,200.0
RD14MR713YKNE,200.0
8116R535XEREC,300.0
9020RGU452YFS,180.0
2316R1014I9,200.0
2316R544HJ,200.0
9016R1014I9,200.0
28135R753UZ,200.0
2816R703QR,200.0
8115RCX35JWOBNE,300.0
2817RG652Y,200.0
9517RG652Y,200.0
9015R1014I9,200.0
9017R1014I9,200.0
9517RHG4I9,200.0
9817R1014I9,200.0
2571-153,200.0
2571-173,200.0
2571-166,200.0
431542A1,200.0
2571-199,270.0
2571-181,200.0
2571-279,270.0
2571-282,270.0
422BB9845REC,160.0
422MBB9845BMNE,160.0
422MBB9845BMREC,160.0
422MRCX45BMREC,160.0
422RCX45REC,160.0
422MRCX45BMREC,160.0
422MRCX45GMREC,160.0
628MRC675BMREC,120.0
628MRDE75BMREC,120.0
628MRC675GMREC,120.0
628MRDE75BMREC,120.0
628MRDE75BMREC,120.0
628MRDE75GMREC,120.0
628MRDE6GMREC,120.0
626MRC66BMREC,120.0
90471650,180.0
626MRC66BMNE,120.0
628MRC675BMNE,120.0
628MRDE75BMNE,120.0
411456RFNE,200.0
9918R8045G3NE,190.0
8322R1235G1NE,270.0
9918R1235G1NE,190.0
9920R806G3NE,170.0
9920R1236G1NE,170.0
8320R805G3JC,270.0
2815R1025I9,200.0
2816REU5,200.0
2816RG652Y,200.0
8116R655NP,300.0
2816R545Y7,200.0
8116R364K3,300.0
9516R1014I9,200.0
9716R1014I9,200.0
9916R544HJAGG,200.0
9716R5445HJ,200.0
2820RDE5,180.0
2820RG652Y,180.0
8420R805G3,270.0
2818RG652Y,190.0
8113R394K4,300.0
81135R4033N,300.0
8314R754GS,300.0
8114R393LG,300.0
8118R926QF,300.0
9718R1014I9,190.0
8324R1016RHSPA,270.0
628MRC66BMGI,120.0
628MRDE6BMGI,120.0
1628MRC66PRPI,120.0
1626MRC66PRPI,120.0
1626MRDE6PRPI,120.0
422RCX4NE,160.0
1422BB984PI,160.0
422BB984NE,160.0
1422MBB984PRPI,160.0
1624MRC66PRPI,160.0
624MRC66BMNE,160.0
2571-208,300.0
418MBB9835BMNE,160.0
420MBB9835BMNE,160.0
420BB9835NE,160.0
422MRCX45BMNE,160.0
422MRCX45BMGI,160.0
422BB9845GI,160.0
422MBB9845BMGI,160.0
